reward_mode,seed,episode,episode_reward
distance_only,1,4,-6.696132656186819
distance_only,1,5,-6.293303273618221
distance_only,1,6,-4.8451924957334995
distance_only,1,7,-4.4579387456178665
distance_only,1,8,-1.1692083850502968
distance_only,1,9,-5.399493616074324
distance_only,1,10,-6.226280998438597
distance_only,1,11,-4.1800449918955564
distance_only,1,12,-5.2741766311228275
distance_only,1,13,-2.113368546590209
distance_only,1,14,-5.643604166805744
distance_only,1,15,-6.005842722952366
distance_only,1,16,-6.96297549828887
distance_only,1,17,-1.7936208508908749
distance_only,1,18,-5.781554710119963
distance_only,1,19,-5.419281464070082
distance_only,1,20,-3.455766849219799
distance_only,1,21,-7.1094093862921
distance_only,1,22,-4.17747350782156
distance_only,1,23,-4.601639453321695
distance_only,1,24,-3.4068770185112953
distance_only,1,25,-9.761842442676425
distance_only,1,26,-2.39559712074697
distance_only,1,27,-4.976546198129654
distance_only,1,28,-8.86366386897862
distance_only,1,29,-6.845132298767567
distance_only,1,30,-9.726708460599184
distance_only,1,31,-2.7527381516993046
distance_only,1,32,-0.952010452747345
distance_only,1,33,-2.481521798297763
distance_only,1,34,-3.9034319445490837
distance_only,1,35,-7.811722654849291
distance_only,1,36,-3.1301613338291645
distance_only,1,37,-4.269990935921669
distance_only,1,38,-4.5522863529622555
distance_only,1,39,-7.9899679981172085
distance_only,1,40,-8.273220624774694
distance_only,1,41,-2.2673536390066147
distance_only,1,42,-4.223507419228554
distance_only,1,43,-5.52184166572988
distance_only,1,44,-2.8809762224555016
distance_only,1,45,-3.8022688198834658
distance_only,1,46,-2.73252285271883
distance_only,1,47,-3.2794297598302364
distance_only,1,48,-5.118753395974636
distance_only,1,49,-4.9704978577792645
